lote_id,cultivo,real,pred_con_TE,error_con_TE,pred_sin_TE,error_sin_TE
1,maíz,130.7,72.3,58.4,64.1,66.6
2,maíz,80.1,69.4,10.7,66.9,13.2
3,maíz,115.0,83.7,31.3,81.5,33.5
5,maíz,121.9,78.3,43.6,79.2,42.7
6,maíz,112.4,77.1,35.3,80.3,32.1
7,maíz,121.0,79.6,41.4,80.0,41.0
8,maíz,154.0,88.7,65.3,79.6,74.4
9,maíz,111.0,89.1,21.9,84.9,26.1
11,maíz,175.0,82.6,92.4,67.5,107.5
12,soja 2da,38.0,27.6,10.4,25.4,12.6
13,soja 1ra,49.37,32.5,16.9,34.3,15.1
15,maíz,112.0,80.8,31.2,87.8,24.2
