fecha_media,ndvi
2025-12-27,0.3328
2026-01-09,0.4209
2026-01-25,0.6419
2026-02-10,0.875
2026-02-26,0.9226
2026-03-14,0.9314
2026-03-30,0.8868
2026-04-15,0.8557
2026-05-01,0.5198
2026-05-17,0.3428
2026-06-02,0.3088
2026-06-18,0.3712
2026-07-04,0.3771
2026-07-20,0.0898
2026-08-05,0.3039
2026-08-21,0.2457
