Departamento_id,Cultivo,Rinde(qq/Ha)
6518,soja 1ra,26.6548
6518,soja 2da,15.573636363636364
6518,trigo total,40.1592
6547,girasol,23.5508
6547,maíz,72.4228
6547,soja 1ra,30.847600000000003
6547,soja 2da,19.28
6547,trigo total,36.3344
6574,girasol,23.7896
6574,maíz,73.546
6574,soja 1ra,31.382800000000003
6574,soja 2da,19.848399999999998
6574,trigo total,36.0588
6581,girasol,20.355999999999998
6581,maíz,67.9672
6581,soja 1ra,22.3768
6581,soja 2da,11.882
6581,trigo total,40.2204
6588,girasol,26.09
6588,maíz,78.734
6588,soja 1ra,34.427600000000005
6588,soja 2da,20.258
6588,trigo total,37.5068
6595,girasol,20.678
6595,maíz,66.3544
6595,soja 1ra,26.0484
6595,soja 2da,15.2696
6595,trigo total,33.3848
6602,girasol,18.1152
6602,maíz,64.53166666666667
6602,soja 1ra,17.098
6602,trigo total,14.8376
6609,girasol,24.3552
6609,maíz,77.6728
6609,soja 1ra,30.9984
6609,soja 2da,22.251199999999997
6609,trigo total,35.0436
6616,girasol,22.0172
6616,maíz,56.642799999999994
6616,soja 1ra,25.141199999999998
6616,soja 2da,19.449166666666667
6616,trigo total,26.2984
6623,girasol,26.39857142857143
6623,maíz,85.93799999999999
6623,soja 1ra,37.908
6623,soja 2da,21.9504
6623,trigo total,39.6156
6651,girasol,14.371199999999998
6651,maíz,38.711666666666666
6651,soja 1ra,16.120416666666667
6651,soja 2da,9.892666666666665
6651,trigo total,21.0444
6665,girasol,23.599
6665,maíz,76.5768
6665,soja 1ra,34.6084
6665,soja 2da,19.9824
6665,trigo total,35.971199999999996
6679,girasol,25.1912
6679,maíz,78.8248
6679,soja 1ra,31.747600000000002
6679,soja 2da,22.5996
6679,trigo total,33.6576
6686,girasol,25.9
6686,maíz,89.0932
6686,soja 1ra,38.0892
6686,soja 2da,25.6776
6686,trigo total,40.7436
6693,girasol,23.867600000000003
6693,maíz,72.5608
6693,soja 1ra,30.7852
6693,soja 2da,19.67
6693,trigo total,35.5212
6700,girasol,15.4268
6700,maíz,43.1768
6700,soja 1ra,17.9632
6700,soja 2da,11.0245
6700,trigo total,22.4444
6707,girasol,24.102800000000002
6707,maíz,74.1452
6707,soja 1ra,31.4312
6707,soja 2da,20.0672
6707,trigo total,36.306799999999996
6714,girasol,26.78608695652174
6714,maíz,86.41799999999999
6714,soja 1ra,38.3324
6714,soja 2da,22.608800000000002
6714,trigo total,39.9064
6721,girasol,21.3052
6721,maíz,54.743599999999994
6721,soja 1ra,24.3524
6721,soja 2da,19.052916666666665
6721,trigo total,26.2016
6728,girasol,23.02913043478261
6728,maíz,76.39920000000001
6728,soja 1ra,33.9548
6728,soja 2da,22.448800000000002
6728,trigo total,36.9564
6735,girasol,24.99
6735,maíz,78.1116
6735,soja 1ra,34.8148
6735,soja 2da,21.038800000000002
6735,trigo total,36.678000000000004
6742,girasol,17.2184
6742,maíz,62.102399999999996
6742,soja 1ra,18.598399999999998
6742,soja 2da,10.4048
6742,trigo total,33.7552
6770,girasol,24.29
6770,maíz,76.60480000000001
6770,soja 1ra,34.2248
6770,soja 2da,20.6464
6770,trigo total,36.162800000000004
6791,girasol,21.5192
6791,maíz,62.34
6791,soja 1ra,25.898000000000003
6791,soja 2da,13.902727272727274
6791,trigo total,41.373999999999995
6826,girasol,23.9128
6826,maíz,74.8956
6826,soja 1ra,29.073600000000003
6826,soja 2da,21.2472
6826,trigo total,32.6732
6833,girasol,18.9952
6833,maíz,63.47
6833,soja 1ra,20.472
6833,soja 2da,11.1396
6833,trigo total,35.6432
6847,girasol,22.0392
6847,maíz,57.1532
6847,soja 1ra,25.478
6847,soja 2da,19.54625
6847,trigo total,26.433200000000003
6854,girasol,24.75
6854,maíz,75.80279999999999
6854,soja 1ra,31.6972
6854,soja 2da,20.2184
6854,trigo total,35.2596
10098,girasol,26.0
10098,maíz,54.3588
10098,soja 1ra,25.657142857142855
10098,soja 2da,24.59583333333333
10098,trigo total,15.669583333333334
14007,maíz,60.04
14007,soja 1ra,24.9128
14007,soja 2da,19.072777777777777
14007,trigo total,19.3004
14021,girasol,24.6
14021,maíz,69.9752
14021,soja 1ra,30.1912
14021,soja 2da,23.6772
