File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2023353000000_aid0001,_250m_16_days_NDVI,aid0001,2023-12-19,7483056.0,-0.2,0.9996,"(-0.2,0.9996)",0.4127201,0.302389,0.0914391,0.7034,0.9996,0.3569,-0.2,0.1122
MOD13Q1_061__250m_16_days_NDVI_doy2024001000000_aid0001,_250m_16_days_NDVI,aid0001,2024-01-01,7481343.0,-0.2,0.9994,"(-0.2,0.9994)",0.4408283,0.317476,0.100791,0.7476,0.9994,0.4138,-0.2,0.1161
MOD13Q1_061__250m_16_days_NDVI_doy2024017000000_aid0001,_250m_16_days_NDVI,aid0001,2024-01-17,7481717.0,-0.2,0.9994,"(-0.2,0.9994)",0.4320067,0.3075223,0.0945699,0.7182,0.9994,0.4123,-0.2,0.1206
MOD13Q1_061__250m_16_days_NDVI_doy2024033000000_aid0001,_250m_16_days_NDVI,aid0001,2024-02-02,7480888.0,-0.2,0.9993,"(-0.2,0.9993)",0.4412321,0.3049705,0.093007,0.7193,0.9993,0.4439,-0.2,0.1276
MOD13Q1_061__250m_16_days_NDVI_doy2024049000000_aid0001,_250m_16_days_NDVI,aid0001,2024-02-18,7477188.0,-0.2,0.9996,"(-0.2,0.9996)",0.4750408,0.3203708,0.1026374,0.7765,0.9996,0.5224,-0.2,0.1347
MOD13Q1_061__250m_16_days_NDVI_doy2024065000000_aid0001,_250m_16_days_NDVI,aid0001,2024-03-05,7474273.0,-0.2,0.9993,"(-0.2,0.9993)",0.4788647,0.3176448,0.1008982,0.7777,0.9993,0.5424,-0.2,0.1404
MOD13Q1_061__250m_16_days_NDVI_doy2024081000000_aid0001,_250m_16_days_NDVI,aid0001,2024-03-21,7473907.0,-0.2,0.9992,"(-0.2,0.9992)",0.4717474,0.3111357,0.0968054,0.7616,0.9992,0.5332,-0.2,0.1433
MOD13Q1_061__250m_16_days_NDVI_doy2024097000000_aid0001,_250m_16_days_NDVI,aid0001,2024-04-06,7479844.0,-0.2,0.9992,"(-0.2,0.9992)",0.4481281,0.3000768,0.0900461,0.7323,0.9992,0.4755,-0.2,0.1361
MOD13Q1_061__250m_16_days_NDVI_doy2024113000000_aid0001,_250m_16_days_NDVI,aid0001,2024-04-22,7479895.0,-0.2,0.9994,"(-0.2,0.9994)",0.3968271,0.2956889,0.0874319,0.7089,0.9994,0.2906,-0.2,0.1219
MOD13Q1_061__250m_16_days_NDVI_doy2024129000000_aid0001,_250m_16_days_NDVI,aid0001,2024-05-08,7479912.0,-0.2,0.9994,"(-0.2,0.9994)",0.4143482,0.2866581,0.0821728,0.6869,0.9994,0.393,-0.2,0.1274
MOD13Q1_061__250m_16_days_NDVI_doy2024145000000_aid0001,_250m_16_days_NDVI,aid0001,2024-05-24,7475706.0,-0.2,0.9993,"(-0.2,0.9993)",0.4006047,0.2854539,0.0814839,0.6753,0.9993,0.359,-0.2,0.1211
MOD13Q1_061__250m_16_days_NDVI_doy2024161000000_aid0001,_250m_16_days_NDVI,aid0001,2024-06-09,7479793.0,-0.2,0.9993,"(-0.2,0.9993)",0.3651909,0.2610795,0.0681625,0.6043,0.9993,0.3198,-0.2,0.1179
MOD13Q1_061__250m_16_days_NDVI_doy2024177000000_aid0001,_250m_16_days_NDVI,aid0001,2024-06-25,7476224.0,-0.2,0.9953,"(-0.2,0.9953)",0.3593321,0.2582714,0.0667041,0.5982,0.9953,0.3089,-0.2,0.116
MOD13Q1_061__250m_16_days_NDVI_doy2024193000000_aid0001,_250m_16_days_NDVI,aid0001,2024-07-11,7476967.0,-0.2,0.9944,"(-0.2,0.9944)",0.3303681,0.235298,0.0553652,0.5374,0.9944,0.2826,-0.2,0.1151
MOD13Q1_061__250m_16_days_NDVI_doy2024209000000_aid0001,_250m_16_days_NDVI,aid0001,2024-07-27,7477010.0,-0.2,0.9959,"(-0.2,0.9959)",0.3074242,0.2176135,0.0473556,0.4824,0.9959,0.2695,-0.2,0.1111
MOD13Q1_061__250m_16_days_NDVI_doy2024225000000_aid0001,_250m_16_days_NDVI,aid0001,2024-08-12,7477211.0,-0.2,0.9733,"(-0.2,0.9733)",0.3042179,0.2166561,0.0469399,0.4825,0.9733,0.2612,-0.2,0.1097
MOD13Q1_061__250m_16_days_NDVI_doy2024241000000_aid0001,_250m_16_days_NDVI,aid0001,2024-08-28,7477268.0,-0.2,0.9907,"(-0.2,0.9907)",0.2871088,0.1993454,0.0397386,0.4424,0.9428,0.2563,-0.2,0.1076
MOD13Q1_061__250m_16_days_NDVI_doy2024257000000_aid0001,_250m_16_days_NDVI,aid0001,2024-09-13,7478514.0,-0.2,0.9726,"(-0.2,0.9726)",0.2863107,0.2027614,0.0411122,0.4386,0.937,0.2516,-0.2,0.1062
MOD13Q1_061__250m_16_days_NDVI_doy2024273000000_aid0001,_250m_16_days_NDVI,aid0001,2024-09-29,7479017.0,-0.2,0.9922,"(-0.2,0.9922)",0.3022549,0.2165423,0.0468906,0.4751,0.9922,0.2613,-0.2,0.1053
MOD13Q1_061__250m_16_days_NDVI_doy2024289000000_aid0001,_250m_16_days_NDVI,aid0001,2024-10-15,7479348.0,-0.2,0.9982,"(-0.2,0.9982)",0.3587781,0.2655605,0.0705224,0.5925,0.9982,0.3026,-0.2,0.1057
MOD13Q1_061__250m_16_days_NDVI_doy2024305000000_aid0001,_250m_16_days_NDVI,aid0001,2024-10-31,7479619.0,-0.2,0.9993,"(-0.2,0.9993)",0.4049436,0.3062118,0.0937657,0.6878,0.9993,0.355,-0.2,0.1052
MOD13Q1_061__250m_16_days_NDVI_doy2024321000000_aid0001,_250m_16_days_NDVI,aid0001,2024-11-16,7480864.0,-0.2,0.9996,"(-0.2,0.9996)",0.3963523,0.2963666,0.0878332,0.6764,0.9996,0.3303,-0.2,0.1071
MOD13Q1_061__250m_16_days_NDVI_doy2024337000000_aid0001,_250m_16_days_NDVI,aid0001,2024-12-02,7480407.0,-0.2,0.9995,"(-0.2,0.9995)",0.4111207,0.3040005,0.0924163,0.6965,0.9995,0.3612,-0.2,0.1077
MOD13Q1_061__250m_16_days_NDVI_doy2024353000000_aid0001,_250m_16_days_NDVI,aid0001,2024-12-18,7480982.0,-0.1998,0.9995,"(-0.1998,0.9995)",0.4075137,0.2994684,0.0896813,0.6851,0.9995,0.358,-0.1998,0.1104
MOD13Q1_061__250m_16_days_NDVI_doy2025001000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-01,7481919.0,-0.2,0.9993,"(-0.2,0.9993)",0.4178276,0.2994609,0.0896769,0.6847,0.9993,0.3981,-0.2,0.1157
MOD13Q1_061__250m_16_days_NDVI_doy2025017000000_aid0001,_250m_16_days_NDVI,aid0001,2025-01-17,7481695.0,-0.2,0.9992,"(-0.2,0.9992)",0.4376217,0.3013138,0.09079,0.7137,0.9992,0.442,-0.2,0.1253
MOD13Q1_061__250m_16_days_NDVI_doy2025033000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-02,7481125.0,-0.2,0.9994,"(-0.2,0.9994)",0.4444917,0.3027644,0.0916663,0.7206,0.9994,0.4587,-0.2,0.1291
MOD13Q1_061__250m_16_days_NDVI_doy2025049000000_aid0001,_250m_16_days_NDVI,aid0001,2025-02-18,7477742.0,-0.1998,0.9994,"(-0.1998,0.9994)",0.4670904,0.3116153,0.0971041,0.7579,0.9994,0.5065,-0.1998,0.1382
MOD13Q1_061__250m_16_days_NDVI_doy2025065000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-06,7474535.0,-0.2,0.9994,"(-0.2,0.9994)",0.4668887,0.3095593,0.095827,0.7579,0.9994,0.4903,-0.2,0.1435
MOD13Q1_061__250m_16_days_NDVI_doy2025081000000_aid0001,_250m_16_days_NDVI,aid0001,2025-03-22,7475104.0,-0.2,0.9996,"(-0.2,0.9996)",0.4483242,0.2989863,0.0893928,0.7409,0.9996,0.4681,-0.2,0.1372
MOD13Q1_061__250m_16_days_NDVI_doy2025097000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-07,7474662.0,-0.2,0.9995,"(-0.2,0.9995)",0.4423728,0.2980122,0.0888113,0.7283,0.9995,0.4658,-0.2,0.1331
MOD13Q1_061__250m_16_days_NDVI_doy2025113000000_aid0001,_250m_16_days_NDVI,aid0001,2025-04-23,7475978.0,-0.2,0.9994,"(-0.2,0.9994)",0.4209176,0.2933073,0.0860292,0.708,0.9994,0.3852,-0.2,0.1275
MOD13Q1_061__250m_16_days_NDVI_doy2025129000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-09,7477242.0,-0.2,0.9995,"(-0.2,0.9995)",0.4122739,0.2913179,0.0848661,0.7,0.9995,0.3632,-0.2,0.1246
MOD13Q1_061__250m_16_days_NDVI_doy2025145000000_aid0001,_250m_16_days_NDVI,aid0001,2025-05-25,7478211.0,-0.2,0.9992,"(-0.2,0.9992)",0.4042353,0.2862393,0.0819329,0.675,0.9992,0.3686,-0.2,0.1218
MOD13Q1_061__250m_16_days_NDVI_doy2025161000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-10,7475880.0,-0.2,0.9991,"(-0.2,0.9991)",0.3707732,0.2632105,0.0692798,0.6136,0.9991,0.3271,-0.2,0.1184
MOD13Q1_061__250m_16_days_NDVI_doy2025177000000_aid0001,_250m_16_days_NDVI,aid0001,2025-06-26,7474518.0,-0.2,0.9989,"(-0.2,0.9989)",0.3522269,0.256851,0.0659724,0.5898,0.9989,0.3039,-0.2,0.1154
MOD13Q1_061__250m_16_days_NDVI_doy2025193000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-12,7474640.0,-0.2,0.9981,"(-0.2,0.9981)",0.3428226,0.247923,0.0614658,0.5668,0.9981,0.2937,-0.2,0.1144
MOD13Q1_061__250m_16_days_NDVI_doy2025209000000_aid0001,_250m_16_days_NDVI,aid0001,2025-07-28,7476831.0,-0.2,0.999,"(-0.2,0.999)",0.3289194,0.238338,0.056805,0.5341,0.999,0.2839,-0.2,0.1118
MOD13Q1_061__250m_16_days_NDVI_doy2025225000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-13,7476956.0,-0.2,0.986,"(-0.2,0.986)",0.3095616,0.2204483,0.0485974,0.4962,0.986,0.2707,-0.2,0.11
MOD13Q1_061__250m_16_days_NDVI_doy2025241000000_aid0001,_250m_16_days_NDVI,aid0001,2025-08-29,7476479.0,-0.2,0.9914,"(-0.2,0.9914)",0.3032871,0.2166957,0.046957,0.479,0.9914,0.2616,-0.2,0.1083
MOD13Q1_061__250m_16_days_NDVI_doy2025257000000_aid0001,_250m_16_days_NDVI,aid0001,2025-09-14,7478735.0,-0.2,0.9966,"(-0.2,0.9966)",0.296861,0.2098748,0.0440474,0.4609,0.9833,0.2615,-0.2,0.1074
MOD13Q1_061__250m_16_days_NDVI_doy2025273000000_aid0001,_250m_16_days_NDVI,aid0001,2025-09-30,7479223.0,-0.2,0.9695,"(-0.2,0.9695)",0.3045683,0.2214892,0.0490575,0.4677,0.9695,0.259,-0.2,0.1069
MOD13Q1_061__250m_16_days_NDVI_doy2025289000000_aid0001,_250m_16_days_NDVI,aid0001,2025-10-16,7480797.0,-0.2,0.9991,"(-0.2,0.9991)",0.3139772,0.2308441,0.053289,0.4823,0.9991,0.2612,-0.2,0.1071
MOD13Q1_061__250m_16_days_NDVI_doy2025305000000_aid0001,_250m_16_days_NDVI,aid0001,2025-11-01,7481592.0,-0.2,0.9986,"(-0.2,0.9986)",0.3265648,0.246247,0.0606376,0.507,0.9986,0.2595,-0.2,0.1058
MOD13Q1_061__250m_16_days_NDVI_doy2025321000000_aid0001,_250m_16_days_NDVI,aid0001,2025-11-17,7481208.0,-0.2,0.9993,"(-0.2,0.9993)",0.3477857,0.2650086,0.0702295,0.5447,0.9993,0.2715,-0.2,0.1083
MOD13Q1_061__250m_16_days_NDVI_doy2025337000000_aid0001,_250m_16_days_NDVI,aid0001,2025-12-03,7481963.0,-0.2,0.9992,"(-0.2,0.9992)",0.3876571,0.2877972,0.0828272,0.6388,0.9992,0.3171,-0.2,0.1126
MOD13Q1_061__250m_16_days_NDVI_doy2025353000000_aid0001,_250m_16_days_NDVI,aid0001,2025-12-19,7482969.0,-0.2,0.9996,"(-0.2,0.9996)",0.4222364,0.3054645,0.0933086,0.7153,0.9996,0.3651,-0.2,0.1166
MOD13Q1_061__250m_16_days_NDVI_doy2026001000000_aid0001,_250m_16_days_NDVI,aid0001,2026-01-01,7481339.0,-0.2,0.9996,"(-0.2,0.9996)",0.4432116,0.3080986,0.0949247,0.737,0.9996,0.4225,-0.2,0.1266
MOD13Q1_061__250m_16_days_NDVI_doy2026017000000_aid0001,_250m_16_days_NDVI,aid0001,2026-01-17,7477793.0,-0.2,0.9996,"(-0.2,0.9996)",0.4660001,0.3120076,0.0973487,0.7697,0.9996,0.4691,-0.2,0.1409
