File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2015353000000_aid0001,_250m_16_days_NDVI,aid0001,2015-12-19,7484104.0,-0.2,0.9995,"(-0.2,0.9995)",0.415499,0.30949,0.0957841,0.7101,0.9995,0.3771,-0.2,0.108
MOD13Q1_061__250m_16_days_NDVI_doy2016001000000_aid0001,_250m_16_days_NDVI,aid0001,2016-01-01,7482375.0,-0.2,0.9996,"(-0.2,0.9996)",0.4320666,0.3190174,0.1017721,0.7473,0.9996,0.4122,-0.2,0.1093
MOD13Q1_061__250m_16_days_NDVI_doy2016017000000_aid0001,_250m_16_days_NDVI,aid0001,2016-01-17,7481488.0,-0.2,0.9995,"(-0.2,0.9995)",0.4435798,0.3200584,0.1024374,0.7493,0.9995,0.4573,-0.2,0.1133
MOD13Q1_061__250m_16_days_NDVI_doy2016033000000_aid0001,_250m_16_days_NDVI,aid0001,2016-02-02,7480178.0,-0.2,0.9995,"(-0.2,0.9995)",0.4527398,0.3192751,0.1019366,0.7548,0.9995,0.4869,-0.2,0.1184
MOD13Q1_061__250m_16_days_NDVI_doy2016049000000_aid0001,_250m_16_days_NDVI,aid0001,2016-02-18,7477950.0,-0.2,0.9997,"(-0.2,0.9997)",0.4034591,0.3023851,0.0914367,0.7138,0.9997,0.3178,-0.2,0.1114
MOD13Q1_061__250m_16_days_NDVI_doy2016065000000_aid0001,_250m_16_days_NDVI,aid0001,2016-03-05,7480309.0,-0.2,0.9995,"(-0.2,0.9995)",0.4660866,0.3205874,0.1027763,0.7646,0.9995,0.5346,-0.2,0.1228
MOD13Q1_061__250m_16_days_NDVI_doy2016081000000_aid0001,_250m_16_days_NDVI,aid0001,2016-03-21,7479515.0,-0.2,0.9995,"(-0.2,0.9995)",0.4473169,0.3118939,0.0972778,0.7472,0.9995,0.4884,-0.2,0.1192
MOD13Q1_061__250m_16_days_NDVI_doy2016097000000_aid0001,_250m_16_days_NDVI,aid0001,2016-04-06,7481315.0,-0.2,0.9993,"(-0.2,0.9993)",0.4121175,0.2960845,0.0876661,0.7052,0.9993,0.3688,-0.2,0.1169
MOD13Q1_061__250m_16_days_NDVI_doy2016113000000_aid0001,_250m_16_days_NDVI,aid0001,2016-04-22,7478899.0,-0.2,0.9995,"(-0.2,0.9995)",0.4206222,0.3011816,0.0907103,0.7083,0.9995,0.4168,-0.2,0.1141
MOD13Q1_061__250m_16_days_NDVI_doy2016129000000_aid0001,_250m_16_days_NDVI,aid0001,2016-05-08,7480976.0,-0.2,0.9992,"(-0.2,0.9992)",0.3759083,0.2737524,0.0749404,0.6369,0.9992,0.3264,-0.2,0.1111
MOD13Q1_061__250m_16_days_NDVI_doy2016145000000_aid0001,_250m_16_days_NDVI,aid0001,2016-05-24,7478735.0,-0.2,0.9993,"(-0.2,0.9993)",0.3724517,0.2689828,0.0723517,0.6268,0.9993,0.3346,-0.2,0.1104
MOD13Q1_061__250m_16_days_NDVI_doy2016161000000_aid0001,_250m_16_days_NDVI,aid0001,2016-06-09,7478626.0,-0.2,0.9994,"(-0.2,0.9994)",0.3614257,0.2621542,0.0687248,0.5961,0.9994,0.3234,-0.2,0.11
MOD13Q1_061__250m_16_days_NDVI_doy2016177000000_aid0001,_250m_16_days_NDVI,aid0001,2016-06-25,7478567.0,-0.2,0.999,"(-0.2,0.999)",0.3467133,0.2527194,0.0638671,0.5667,0.999,0.3028,-0.2,0.108
MOD13Q1_061__250m_16_days_NDVI_doy2016193000000_aid0001,_250m_16_days_NDVI,aid0001,2016-07-11,7477755.0,-0.2,0.9966,"(-0.2,0.9966)",0.3321382,0.2415084,0.0583263,0.5451,0.9966,0.2875,-0.2,0.1068
MOD13Q1_061__250m_16_days_NDVI_doy2016209000000_aid0001,_250m_16_days_NDVI,aid0001,2016-07-27,7477826.0,-0.2,0.9988,"(-0.2,0.9988)",0.3205045,0.2320534,0.0538488,0.5127,0.9988,0.2788,-0.2,0.1061
MOD13Q1_061__250m_16_days_NDVI_doy2016225000000_aid0001,_250m_16_days_NDVI,aid0001,2016-08-12,7477240.0,-0.2,0.961,"(-0.2,0.961)",0.3133275,0.2256506,0.0509182,0.4934,0.961,0.2714,-0.2,0.1067
MOD13Q1_061__250m_16_days_NDVI_doy2016241000000_aid0001,_250m_16_days_NDVI,aid0001,2016-08-28,7478626.0,-0.2,0.996,"(-0.2,0.996)",0.3040941,0.2160654,0.0466843,0.4771,0.996,0.2668,-0.2,0.1051
