File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_061__250m_16_days_NDVI_doy2007353000000_aid0001,_250m_16_days_NDVI,aid0001,2007-12-19,7483265.0,-0.2,0.9994,"(-0.2,0.9994)",0.4020307,0.3008185,0.0904918,0.689,0.9994,0.3535,-0.2,0.1062
MOD13Q1_061__250m_16_days_NDVI_doy2008001000000_aid0001,_250m_16_days_NDVI,aid0001,2008-01-01,7481711.0,-0.2,0.9995,"(-0.2,0.9995)",0.4326314,0.314581,0.0989612,0.7287,0.9995,0.4299,-0.2,0.1104
MOD13Q1_061__250m_16_days_NDVI_doy2008017000000_aid0001,_250m_16_days_NDVI,aid0001,2008-01-17,7477443.0,-0.2,0.9996,"(-0.2,0.9996)",0.4139617,0.2973205,0.0883995,0.7047,0.9996,0.3672,-0.2,0.1164
MOD13Q1_061__250m_16_days_NDVI_doy2008033000000_aid0001,_250m_16_days_NDVI,aid0001,2008-02-02,7475175.0,-0.2,0.9994,"(-0.2,0.9994)",0.4659848,0.3223195,0.1038899,0.7727,0.9994,0.533,-0.2,0.1241
MOD13Q1_061__250m_16_days_NDVI_doy2008049000000_aid0001,_250m_16_days_NDVI,aid0001,2008-02-18,7476204.0,-0.2,0.9995,"(-0.2,0.9995)",0.4747993,0.3269341,0.1068859,0.7839,0.9995,0.5579,-0.2,0.1274
MOD13Q1_061__250m_16_days_NDVI_doy2008065000000_aid0001,_250m_16_days_NDVI,aid0001,2008-03-05,7477249.0,-0.2,0.9995,"(-0.2,0.9995)",0.4732053,0.3257659,0.1061235,0.786,0.9995,0.55,-0.2,0.1272
MOD13Q1_061__250m_16_days_NDVI_doy2008081000000_aid0001,_250m_16_days_NDVI,aid0001,2008-03-21,7476198.0,-0.2,0.9995,"(-0.2,0.9995)",0.4687097,0.3202283,0.1025462,0.7716,0.9995,0.5651,-0.2,0.1255
MOD13Q1_061__250m_16_days_NDVI_doy2008097000000_aid0001,_250m_16_days_NDVI,aid0001,2008-04-06,7475288.0,-0.2,0.9993,"(-0.2,0.9993)",0.4604925,0.3174909,0.1008005,0.7638,0.9993,0.5425,-0.2,0.1217
MOD13Q1_061__250m_16_days_NDVI_doy2008113000000_aid0001,_250m_16_days_NDVI,aid0001,2008-04-22,7475521.0,-0.2,0.9993,"(-0.2,0.9993)",0.4280934,0.3034214,0.0920645,0.7221,0.9993,0.433,-0.2,0.1163
MOD13Q1_061__250m_16_days_NDVI_doy2008129000000_aid0001,_250m_16_days_NDVI,aid0001,2008-05-08,7476209.0,-0.2,0.9992,"(-0.2,0.9992)",0.4037387,0.2896855,0.0839177,0.6826,0.9992,0.376,-0.2,0.1133
MOD13Q1_061__250m_16_days_NDVI_doy2008145000000_aid0001,_250m_16_days_NDVI,aid0001,2008-05-24,7475677.0,-0.2,0.9991,"(-0.2,0.9991)",0.3768264,0.2709726,0.0734261,0.6269,0.9991,0.3395,-0.2,0.112
MOD13Q1_061__250m_16_days_NDVI_doy2008161000000_aid0001,_250m_16_days_NDVI,aid0001,2008-06-09,7476938.0,-0.2,0.9984,"(-0.2,0.9984)",0.3417795,0.2491705,0.062086,0.5306,0.9984,0.3079,-0.2,0.1096
MOD13Q1_061__250m_16_days_NDVI_doy2008177000000_aid0001,_250m_16_days_NDVI,aid0001,2008-06-25,7474837.0,-0.2,0.9951,"(-0.2,0.9951)",0.3293037,0.2413048,0.058228,0.5072,0.9951,0.2957,-0.2,0.1081
